city,area_total_km2, population_tota,latitude,longitude
An Giang,"3536,7",1.864.651,10.5149025,105.1131792
Ba Ria - Vung Tau,"1980,8",1.181.302,10.5819798,107.2899841
Bac Lieu,2669,917.734,9.347731699,105.5097064
Bac Giang,"3851,4",1.858.540,21.3092863,106.6165128
Bac Kan,4860,318.083,22.2571701,105.8588958
Bac Ninh,"822,7",1.450.518,21.1212051,106.0880245
Ben Tre,"2394,6",1.295.067,10.1245254,106.4690447
Binh Duong,"2694,7",2.678.220,11.1969829,106.7080527
Binh Dinh,"6066,2",1.487.009,14.1525201,108.9239618
Binh Phuoc,6877,1.020.839,11.7332484,106.906249
Binh Thuan,"7812,8",1.243.977,11.101462,107.9415938
Ca Mau,"5294,8",1.191.999,9.087542899,105.032047
Cao Bang,"6700,3",535.098,22.7730867,106.0017225
Can Tho,"1439,2",1.244.736,10.0906589,105.5799367
Da Nang,"1284,9",1.191.381,16.047079,108.20623
Dak Lak,"13030,5",1.897.710,12.8399392,108.2284947
Dak Nong,"6509,3",652.766,12.1288687,107.5874261
Dien Bien,9541,623.295,21.7210126,103.0410819
Dong Nai,"5905,7",3.236.248,11.0063212,107.1921807
Dong Thap,"3383,8",1.586.438,10.6266659,105.6316218
Gia Lai,"15510,8",1.566.882,13.7964067,108.2608263
Ha Giang,"7929,5",883.388,22.6068909,104.79948
Ha Nam,"860,9",867.258,20.5269088,105.9543527
Ha Noi,"3358,9",8.418.883,21.028511,105.804817
Ha Tinh,"5990,7",1.301.601,18.2879059,105.7842774
Hai Duong,"1668,2",1.932.090,20.9443681,106.3780373
Hai Phong,"1561,8",2.069.110,20.865139,106.68383
Hau Giang,"1621,8",728.255,9.763319699,105.6379524
Hoa Binh,4591,868.623,20.6609177,105.3924747
 TP.Ho Chi Minh,2061,9.411.805,10.762622,106.660172
Hung Yen,"930,2",1.279.308,20.8193369,106.0314504
Khanh Hoa,"5137,8",1.246.358,12.1960803,108.9950386
Kien Giang,"6348,8",1.730.117,9.911394499,105.2533879
Kon Tum,"9674,2",565.685,14.6995372,107.9323831
Lai Chau,"9068,8",480.588,22.3048728,102.9628862
Lang Son,"8310,2",791.872,21.8567012,106.4424353
Lao Cai,6364,756.083,22.2967657,104.0566164
Lam Dong,"9783,2",1.319.952,11.6937725,108.152754
Long An,"4490,2",1.744.138,10.695572,106.243121
Nam Dinh,1668,1.771.000,20.2712241,106.1629895
Nghe An,"16493,7",3.417.809,19.3738868,104.9233469
Ninh Binh,1387,1.000.093,20.1844832,105.9802529
Ninh Thuan,"3355,3",595.698,11.7449715,108.8983408
Phu Tho,"3534,6",1.495.116,21.321224,105.1267207
Phu Yen,"5023,4",875.127,13.2126552,109.0834225
Quang Binh,"8065,3",905.895,17.5462658,106.2576229
Quang Nam,"10574,7",1.510.960,15.5973344,107.9758089
Quang Ngai,"5135,2",1.234.704,14.9635349,108.6642632
Quang Ninh,"6177,7",1.358.490,21.1718046,107.2012742
Quang Tri,"4739,8",639.414,16.8581352,106.8588935
Soc Trang,"3311,8",1.181.835,9.586778899,105.9468456
Son La,"14123,5",1.286.068,21.1508502,103.8884294
Tay Ninh,"4041,4",1.190.852,11.404629,106.0033909
Thai Bçnh,"1570,5",1.876.579,20.5296832,106.3876068
Thai Nguyen,"3536,4",1.322.235,21.6498502,105.8351394
Thanh Hoa,"11114,7",3.690.022,20.1071694,105.2124457
Thua Thien Hue,"5048,2",1.137.045,16.3375374,107.5563708
Tien Giang,"2510,5",1.783.165,10.449332,106.34205
Tra Vinh,"2358,2",1.010.404,9.770460599,106.3563806
Tuyen Quang,"5867,9",797.392,22.1256755,105.2089725
Vinh Long,1475,1.022.408,10.086128,"106.016997
"
Vinh Phuc,"1235,2",1.184.074,21.311356,105.6032944
Yen Bai,"6887,7",838.181,21.8013688,104.5148066
